"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","significance"
90.0681693749654,3.87436974740337,0.288658693415658,13.4219749336439,4.49570578472099e-41,2.09971938675394e-37,"Map3k6","Upregulated"
215.911429218671,3.24679412511077,0.251713841823321,12.8987508259069,4.57452377807052e-38,1.06826566527392e-34,"Cdkn1a","Upregulated"
597.060076770722,4.18900173182954,0.330661860258887,12.6685361551823,8.83476787968193e-37,1.65051133528218e-33,"Mt2","Upregulated"
378.536366097918,4.2278134812905,0.343168355072727,12.319939816113,7.07470677814007e-35,1.10141393357677e-31,"AW112010","Upregulated"
154.547800283004,2.69046327484502,0.234630923327599,11.466788932542,1.93714732339865e-30,2.26186164348335e-27,"Plaur","Upregulated"
546.591511741867,2.24276064854101,0.19608563242601,11.4376592552607,2.71101262601558e-30,2.81372988217906e-27,"Cd300lf","Upregulated"
429.531702939111,2.46931588070829,0.220631114198249,11.1920564317573,4.45968711503713e-29,3.78708521286925e-26,"Pfkfb3","Upregulated"
46.4564106257737,6.27231450481854,0.575602078438829,10.8969629189501,1.19168761715612e-27,7.42103602123689e-25,"Nbl1","Upregulated"
73.0012021018611,3.71674927433474,0.352121166586445,10.5553134177246,4.80034862873587e-26,2.1352407876677e-23,"Trem1","Upregulated"
72.8421504777295,4.12051899606281,0.405921010415098,10.1510365079382,3.27862533251271e-24,1.27606830129172e-21,"Sdc4","Upregulated"
286.240713430453,2.58089006165195,0.255466460120506,10.1026571567732,5.37652860902543e-24,2.00888614947626e-21,"Rnf169","Upregulated"
161.633419502,2.63505367063269,0.262380269464813,10.0428804193529,9.87477064339846e-24,3.41630491036982e-21,"Dtx2","Upregulated"
1168.8029124794,2.4071670967123,0.244175356640278,9.85835397082502,6.30748982046769e-23,2.03166422113754e-20,"Mt1","Upregulated"
133.448428730016,1.87078490278723,0.193962864376381,9.64506741433254,5.15772942668815e-22,1.41701031102041e-19,"Cited2","Upregulated"
568.807710841608,1.93023688313098,0.214428739312522,9.00176389284147,2.22119832805894e-19,4.14964271647972e-17,"Slc15a3","Upregulated"
25.6848783970913,5.05660857373012,0.563083384060793,8.98021273024136,2.70243745585341e-19,4.94969966178954e-17,"Zbtb16","Upregulated"
83.380867862732,2.13710827314442,0.240785136381133,8.87558221102835,6.95685249647172e-19,1.18152653035532e-16,"Fmnl2","Upregulated"
92.0360337577439,2.13237487403507,0.240463516867743,8.86776880672462,7.46260663632404e-19,1.24478943910541e-16,"Osm","Upregulated"
1374.87491050303,1.97463103689987,0.226085324089557,8.73400803370006,2.45803647055359e-18,3.9587101157657e-16,"Srgn","Upregulated"
166.086437467858,1.47501122587397,0.175147074428431,8.42155788606502,3.71510688284673e-17,5.17952438696586e-15,"Kri1","Upregulated"
53.7860256431674,3.57128677754646,0.425031292308688,8.40240905122049,4.37411097625019e-17,5.83693866130757e-15,"Spp1","Upregulated"
61.5107318654161,3.61790627876802,0.443206586012676,8.16302463218485,3.26737841444297e-16,4.0694109025749e-14,"Gpr18","Upregulated"
56.9151126609881,2.08499442096405,0.25794413246779,8.08312405099739,6.3128350108688e-16,7.75897261006914e-14,"Snhg15","Upregulated"
191.3328885353,2.2982159760626,0.286881241877689,8.0110360685152,1.13746080583391e-15,1.36218222914032e-13,"Msrb1","Upregulated"
123.01224432694,2.69978911159232,0.339597335766684,7.94997141393116,1.86554557721728e-15,2.15136558478847e-13,"Gadd45b","Upregulated"
146.914740395922,2.21304952912351,0.278477557170232,7.94695828134791,1.91146747638552e-15,2.17744118255087e-13,"Nfkbiz","Upregulated"
41.1606601455774,3.84053384172228,0.487881326090915,7.87186070943533,3.49405061152991e-15,3.75148583474723e-13,"Il1rn","Upregulated"
282.390825304262,1.74300715586042,0.222447088720114,7.83560336028267,4.66596634750566e-15,4.7491267992628e-13,"Pde1b","Upregulated"
