"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","significance"
351.17041970847,-3.43152321149936,0.233665834630598,-14.68560098623,7.97242195039319e-49,7.44703934386228e-45,"Il10ra","Downregulated"
500.489578093848,-2.79337379536217,0.211267313124178,-13.2219876044918,6.55096608319636e-40,2.03975247277124e-36,"Adgrg1","Downregulated"
221.350901763161,-3.26093980669005,0.276930539108125,-11.7752986622283,5.23314245962642e-32,6.98325481648148e-29,"Capn3","Downregulated"
106.209779722395,-2.91554026082565,0.255309401923001,-11.4196353086321,3.33630987518943e-30,3.11644705441445e-27,"Slc46a1","Downregulated"
437.527827217804,-2.35450916099522,0.211026948945279,-11.1573861668529,6.59006960674677e-29,5.12982001638513e-26,"Bin2","Downregulated"
465.457265502855,-2.04084926827449,0.183969503225175,-11.0934107691563,1.35038757411998e-28,9.70305409988823e-26,"Ppfia4","Downregulated"
708.698662623885,-2.04606545721633,0.18615826064102,-10.9910000779492,4.2222148268465e-28,2.81712204982665e-25,"Bin1","Downregulated"
101.652064275152,-2.92342363569589,0.270023219984471,-10.8265638631523,2.57642879695408e-27,1.50415133702175e-24,"Zfp467","Downregulated"
1680.73024246227,-2.34271163230417,0.220060521068139,-10.6457606340884,1.82487706394507e-26,1.002716273783e-23,"Calr","Downregulated"
70.2231325336073,-3.63825354551004,0.342784398973739,-10.6138247726635,2.5700815164755e-26,1.33372952474431e-23,"Fam167b","Downregulated"
112.007497534552,-3.51449018749538,0.331754018173417,-10.5936627590695,3.18865577290257e-26,1.56764387235173e-23,"Lst1","Downregulated"
84.8965173095334,-3.98258062473273,0.376875134384654,-10.5673743406694,4.22148355070751e-26,1.97164389235794e-23,"Olfml3","Downregulated"
174.059891940427,-2.48101333989494,0.235807274687079,-10.5213604762079,6.88718450718868e-26,2.92423593098407e-23,"Gas6","Downregulated"
269.390603216986,-2.20372555084412,0.213717305454893,-10.3114043392674,6.25800937823817e-25,2.54156806965751e-22,"Myo1f","Downregulated"
199.843204604735,-2.04738966863217,0.20287751690946,-10.0917524022432,6.00871086625919e-24,2.15874493083566e-21,"Tbxas1","Downregulated"
153.073616170363,-3.3843430087304,0.341982688274658,-9.89624073021007,4.32217235370546e-23,1.44190756985581e-20,"Slc2a5","Downregulated"
959.440608467766,-2.06674645197583,0.210843874041603,-9.80225990140947,1.10094450362933e-22,3.42797420280052e-20,"Tmem176b","Downregulated"
2277.16721002734,-1.87903239550626,0.192249049524653,-9.77394894878428,1.45661310114047e-22,4.38910418637198e-20,"Tmem119","Downregulated"
340.107161886842,-1.70781777932553,0.175090635902465,-9.75390700092537,1.77502369461218e-22,5.18140510355386e-20,"Plxdc2","Downregulated"
131.258172539162,-2.08441747665144,0.214479912467762,-9.71847411101841,2.5152228782297e-22,7.11960512289202e-20,"Fads1","Downregulated"
272.320646948915,-1.87675839355379,0.195012298042988,-9.62379507542689,6.34461289228474e-22,1.69328654362376e-19,"Pbxip1","Downregulated"
164.323630292468,-3.03939695392568,0.316643011348466,-9.59881268492869,8.08706004018664e-22,2.09836743987176e-19,"Cryba4","Downregulated"
77.9549215253251,-3.34550730320962,0.349286257521879,-9.57812462175114,9.88229856659409e-22,2.49487975433933e-19,"Ggt5","Downregulated"
104.85870165108,-2.73064394234719,0.285451424623404,-9.56605470072443,1.11063200122709e-21,2.73010882196375e-19,"Plxdc1","Downregulated"
377.669124002743,-2.06250376553494,0.218992448031094,-9.41815018772747,4.5910466577636e-21,1.09961453410692e-18,"Pla2g15","Downregulated"
599.688171199164,-2.04776020707619,0.218171648962736,-9.38600508733354,6.23191948018964e-21,1.45530899661129e-18,"Pdia6","Downregulated"
103.201530553003,-2.79800565171298,0.298445403802911,-9.37526802577514,6.9000234482581e-21,1.572027293419e-18,"Nrp1","Downregulated"
314.29578505608,-1.85545296695473,0.198340595240242,-9.35488251765752,8.36926747645368e-21,1.86136494041795e-18,"Cmtm7","Downregulated"
