"","AS_3rd_LPS_7B4_IL10R_32_cont6_48h_6.normalized","AS_3rd_LPS_7B4_IL10R_38_cont2_48h_2.normalized","AS_3rd_LPS_7B4_IL10R_42_cont3_48h_3.normalized","AS_3rd_LPS_7B4_IL10R_46_cont4_48h_4.normalized","AS_3rd_LPS_7B4_IL10R_54_cont5_48h_5.normalized","AS_3rd_LPS_7B4_IL10R_10_mut3_48h_3.normalized","AS_3rd_LPS_7B4_IL10R_48_mut1_48h_1.normalized","AS_3rd_LPS_7B4_IL10R_8_mut2_48h_2.normalized"
"Ercc4",15,29,12,27,20,15,34,22
"Ercc5",49,35,37,26,48,43,31,36
"Ercc6",4,1,4,0,6,0,2,2
"Ercc6l2",12,13,11,12,19,9,17,14
"Ercc8",13,10,17,9,9,14,24,21
"Erf",133,115,146,111,146,95,81,69
"Erg28",43,62,52,52,48,44,57,55
"Ergic1",63,75,96,56,76,88,82,109
"Ergic2",53,50,42,54,62,62,57,60
"Ergic3",211,162,233,177,216,159,111,168
"Erh",2,5,4,2,5,7,2,6
"Eri1",0,3,2,2,3,2,4,0
"Eri2",11,2,5,2,15,8,6,8
"Eri3",59,65,52,60,57,76,48,60
"Erich1",18,19,11,14,11,16,26,20
"Erich2",0,0,0,1,0,0,3,0
"Erlec1",66,59,50,59,62,51,57,53
"Erlin1",36,17,26,32,51,32,29,44
"Erlin2",19,20,23,17,14,14,11,16
"Ermap",10,9,9,8,8,3,23,10
"Ermard",21,33,32,26,32,20,21,18
"Ermp1",12,11,8,12,15,5,9,7
"Ern1",17,21,16,22,19,22,21,15
"Ero1l",4,3,2,4,4,12,9,4
"Ero1lb",27,33,29,23,28,39,19,18
"Erp27",3,2,2,5,4,11,14,8
"Erp29",1120,909,1200,1014,1418,605,328,484
"Erp44",112,147,149,126,110,65,85,75
"Errfi1",14,17,16,19,11,26,15,18
"Esco1",18,13,6,14,17,17,15,17
"Esco2",4,0,2,3,6,0,0,0
"Esd",83,71,54,58,81,100,136,130
"Esf1",17,9,14,8,11,19,31,33
"Espl1",26,54,59,31,35,14,10,14
"Espn",2,3,3,6,1,1,2,2
"Esr1",3,0,0,1,2,1,1,2
"Esrra",156,152,144,153,173,190,196,184
"Esyt1",149,209,207,165,151,142,152,130
"Esyt2",11,21,11,12,14,14,9,10
"Etaa1",2,1,0,1,2,1,0,2
"Etf1",51,53,29,49,57,60,70,75
"Etfa",47,36,55,32,42,32,22,37
"Etfb",102,77,94,112,101,62,48,79
"Etfbkmt",3,1,2,3,0,5,1,2
"Etfdh",37,35,38,29,39,28,39,40
"Etfrf1",19,13,9,8,17,13,17,14
"Ethe1",38,37,50,51,36,12,4,18
"Etl4",4,5,3,2,1,1,2,1
"Etnk1",126,109,147,104,122,85,73,95
"Etohd2",0,2,2,2,2,0,0,0
"Ets1",2,4,1,2,0,0,6,3
"Ets2",28,38,29,27,28,83,207,153
"Etv1",16,13,8,20,13,8,2,6
"Etv3",130,92,135,86,109,64,75,67
"Etv4",20,21,21,24,11,42,27,25
"Etv5",69,64,71,72,74,48,31,32
"Etv6",79,88,103,84,81,94,109,98
"Eva1a",32,34,41,52,60,96,34,48
"Eva1b",35,28,56,56,46,45,16,31
"Evi2",24,15,15,7,18,14,35,18
"Evi2a",242,214,304,194,311,335,421,396
"Evi2b",130,180,141,144,116,202,524,286
"Evi5",48,39,24,53,36,33,16,31
"Evi5l",9,16,9,7,12,7,15,5
"Evl",339,326,388,391,334,160,131,168
"Ewsr1",277,319,302,326,278,259,296,292
"Exd2",20,34,37,31,17,14,22,18
"Exo1",9,1,8,2,14,2,2,2
"Exo5",8,17,11,7,10,19,10,7
"Exoc1",61,45,47,58,57,49,84,42
"Exoc2",31,37,40,32,28,51,68,51
"Exoc3",66,81,56,52,84,63,84,80
"Exoc3l2",2,1,1,0,1,1,1,0
"Exoc3l4",4,7,2,5,6,2,20,12
"Exoc4",31,27,33,28,28,20,22,21
"Exoc5",61,35,29,43,70,49,70,75
"Exoc6",35,38,45,34,33,38,27,21
"Exoc6b",11,10,15,18,12,7,11,13
"Exoc7",42,39,32,51,47,50,39,54
"Exoc8",7,13,11,17,7,12,6,12
"Exog",30,26,32,25,34,9,20,22
"Exosc1",44,58,44,22,32,60,105,90
"Exosc10",79,114,108,78,91,99,147,99
"Exosc2",32,34,25,21,30,42,76,78
"Exosc3",27,28,38,33,32,29,53,41
"Exosc4",33,53,26,42,26,35,46,43
"Exosc5",136,115,121,115,160,171,104,150
"Exosc7",23,28,40,25,26,17,29,30
"Exosc8",169,118,118,132,196,284,223,274
"Exosc9",46,28,35,22,38,63,68,64
"Ext1",22,17,16,19,21,28,27,18
"Ext2",60,73,79,78,55,52,46,45
"Extl2",23,13,11,12,15,30,21,26
"Extl3",211,284,280,250,204,210,133,181
"Eya3",24,38,36,46,32,42,25,35
"Eya4",77,33,38,43,71,70,45,47
"Ezh1",39,41,47,63,55,46,38,33
"Ezh2",25,12,18,10,32,7,2,6
"Ezr",21,20,15,18,17,37,25,31
"F10",0,1,0,2,0,5,1,4
"F11r",528,472,523,495,508,198,130,184
"F13a1",18,16,12,22,11,11,8,13
"F2r",0,0,0,0,0,1,2,0
"F3",5,7,11,2,4,7,35,22
"F5",2,0,1,0,0,0,1,2
"F630028O10Rik",4,4,1,2,3,9,8,20
"F730043M19Rik",5,2,5,4,6,0,2,2
"F830016B08Rik",5,1,3,7,4,0,1,0
"F830208F22Rik",0,0,1,0,0,3,5,5
"F9",2,5,4,6,6,5,5,3
"Faap100",38,40,45,31,38,55,35,43
"Faap20",34,48,47,43,50,39,46,39
"Faap24",13,22,11,18,12,21,28,28
"Fabp4",1,0,0,0,0,0,0,0
"Fabp5",8,11,6,2,6,5,2,6
"Fads1",169,156,221,196,197,45,43,43
"Fads3",5,3,14,7,4,5,7,6
"Fads6",1,4,3,4,3,1,2,2
"Faf1",5,5,5,7,6,4,3,4
"Faf2",69,92,71,62,66,56,56,70
"Fahd1",7,6,8,6,5,4,6,6
"Fahd2a",11,9,16,13,17,13,9,7
"Faim",50,44,40,42,50,65,81,75
"Fam102a",8,10,11,8,7,8,6,6
"Fam102b",59,42,50,42,50,53,78,85
"Fam103a1",15,14,14,19,10,25,13,5
"Fam104a",24,24,24,18,19,20,18,13
"Fam105a",18,15,15,17,19,8,4,12
"Fam107a",0,2,1,0,0,3,4,2
"Fam107b",11,11,12,14,21,10,16,13
"Fam109a",18,17,22,22,17,12,15,15
"Fam110a",34,42,57,52,50,15,17,25
"Fam111a",64,54,40,61,122,72,47,77
"Fam114a1",14,14,19,15,9,11,15,12
"Fam114a2",154,149,147,176,155,121,100,108
