"","Mutant_1","Mutant_2","Mutant_3","Control_1","Control_2","Control_3","Control_4","Control_5","Control_6"
"Exd1",0,1,0,2,2,1,1,3,3
"Wdr76",7,24,11,28,16,10,13,21,13
"Atp8b4",1,2,1,0,0,0,0,1,0
"Spdye4c",0,0,0,0,0,0,0,0,0
"Tgm6",0,0,0,0,0,0,0,0,0
"Lzts3",13,25,11,19,22,29,13,12,18
"Fermt1",0,0,0,0,0,0,0,0,0
"Pak5",0,0,0,0,0,0,0,0,1
"Dzank1",2,12,0,4,0,0,1,1,0
"Ralgapa2",16,53,23,21,44,23,17,21,31
"Snph",1,1,8,7,4,15,5,14,8
"Tspyl3",11,12,10,7,6,7,9,8,8
"L3mbtl1",0,1,0,0,0,0,0,2,4
"Kcnk15",0,0,0,0,0,0,0,0,0
"Rims4",0,0,0,0,0,0,0,0,0
"Kcng1",0,0,0,0,0,0,0,0,0
"Lsm14b",54,47,33,36,46,44,44,32,21
"Abhd16b",0,0,0,0,0,0,0,0,0
"Slc10a5",0,0,0,0,0,0,0,0,0
"Phc3",120,207,85,90,125,80,93,144,156
"Slc7a14",0,3,0,0,0,0,0,0,0
"Gm57858",0,0,0,0,0,0,0,0,0
"Zfp267",48,68,33,27,21,17,24,46,26
"Bbs12",23,57,34,33,52,57,30,27,36
"Pabpc4l",0,0,0,0,0,0,0,0,0
"Frem2",1,0,0,0,0,0,0,1,0
"Ankub1",0,0,0,0,0,0,0,0,0
"Igsf10",1,4,15,30,28,16,15,15,21
"Ppm1l",54,77,14,20,35,9,21,29,16
"Rxfp4",0,0,0,0,0,0,0,0,0
"Pglyrp3",0,0,0,0,0,0,0,0,0
"Zfp697",20,21,31,26,17,39,28,24,32
"Vtcn1",0,0,0,0,0,0,0,0,0
"Mab21l3",1,7,0,0,0,0,0,0,0
"Slc22a15",6,9,2,0,1,0,0,1,1
"Kcna10",0,1,0,0,0,0,0,0,0
"Pde5a",0,0,0,0,0,0,1,2,0
"Lrit3",0,0,0,0,0,0,0,0,0
"Bank1",5,5,5,28,29,18,37,42,25
"Dnai3",0,0,0,0,0,0,0,0,0
"Slc44a5",0,1,0,0,0,0,0,0,0
"Lrrc7",0,0,2,0,0,0,0,0,2
"Sdr16c5",1,1,0,0,1,0,0,0,0
"Sdr16c6",0,0,0,0,0,0,0,0,0
"Bpnt2",66,84,30,39,43,30,69,50,43
"Fam110b",0,5,4,0,0,1,0,1,0
"Gdf6",0,0,0,0,0,0,0,0,0
"Atp6v0d2",0,0,0,0,0,0,0,0,0
"Manea",51,53,38,46,52,34,45,71,38
"Pm20d2",0,1,0,0,0,0,0,0,0
"Lingo2",0,0,0,0,0,0,0,0,0
"Rgp1",125,185,85,40,94,164,133,91,98
"Fam221b",0,0,0,0,0,0,0,0,0
"Tmem8b",8,16,13,5,8,9,6,3,7
"Dcaf10",48,90,57,23,49,34,36,53,50
