Geneid	featureCounts on dataset 196: Counts	featureCounts on dataset 190: Counts	featureCounts on dataset 184: Counts	featureCounts on dataset 178: Counts	featureCounts on dataset 172: Counts	featureCounts on dataset 166: Counts	featureCounts on dataset 160: Counts	featureCounts on dataset 154: Counts	featureCounts on dataset 148: Counts
19765	193	260	186	166	279	162	262	294	278
19766	117	250	108	106	98	113	109	120	153
19769	85	141	130	75	102	100	90	71	95
19771	0	4	3	0	0	0	0	3	2
19773	0	0	0	0	0	0	0	0	0
19775	56	51	52	58	136	119	85	97	150
19777	72	153	69	43	55	58	65	48	53
19782	9	2	16	10	6	5	8	12	3
19783	0	0	0	0	0	0	0	0	0
19784	0	0	0	0	0	0	0	0	0
19791	38	52	33	60	40	24	458	1183	694
19799	0	0	0	0	0	0	0	0	0
19804	0	0	0	0	0	0	0	0	0
19817	20	15	14	7	22	6	3	14	8
19819	67	137	72	37	55	125	71	82	82
19820	85	183	81	61	62	20	37	65	64
19821	56	106	61	75	73	35	45	70	76
19822	172	319	153	99	156	143	100	119	102
19823	147	173	96	116	177	155	125	135	126
19824	0	0	0	0	0	0	0	0	0
19826	21	9	2	2	7	1	11	19	9
19842	4	2	2	0	0	2	0	0	1
19844	1	1	0	0	0	0	0	1	0
19845	0	0	0	0	0	0	0	0	0
19847	0	0	0	1	0	0	0	1	0
19848	0	0	0	0	1	0	0	1	0
19850	12	4	3	7	4	15	5	18	14
19858	6	4	1	5	2	3	4	7	4
19859	0	1	1	0	0	0	0	0	0
19860	3	2	2	0	9	2	0	1	4
19861	2	1	0	0	0	0	0	0	1
19862	0	0	0	0	0	0	0	0	0
19866	0	4	0	1	1	0	0	2	5
19870	0	0	0	0	0	0	0	1	0
19871	0	0	0	0	0	0	0	0	0
19872	4	6	0	3	1	3	0	3	0
19874	2	0	0	1	0	1	1	0	2
19876	0	0	0	0	0	0	0	0	0
19877	182	250	104	127	154	54	128	180	177
19878	148	170	75	189	170	88	183	205	214
19879	0	0	0	0	0	3	0	0	0
19881	21	29	18	14	13	10	17	11	8
19882	5	0	3	0	0	0	0	0	0
19883	1	0	1	2	3	0	0	0	0
19885	0	0	0	1	3	0	0	0	0
19886	0	0	0	0	0	0	0	0	0
19888	0	0	0	0	0	0	0	0	0
19889	50	131	41	77	77	124	121	81	79
19891	73	94	41	108	53	153	62	92	92
19892	0	0	0	0	0	0	0	0	0
19893	6	8	0	7	4	0	2	6	26
19894	0	2	0	0	0	0	0	0	0
19895	53	93	36	60	102	51	61	56	72
19896	1458	1751	1172	992	1423	1291	1255	1335	1629
19899	2740	3215	2046	1257	2558	1740	1994	1674	2429
19921	1527	1642	1189	864	1067	793	926	1014	1349
19933	1275	1442	963	959	1178	978	1076	1162	1426
19934	1416	1249	1123	1065	1476	933	976	1219	1332
19935	61	45	37	36	33	42	28	43	83
19941	1938	2040	1389	1505	1813	1518	1491	1663	1857
19942	885	1043	689	507	614	505	621	598	698
19943	3022	3500	2979	1971	3139	1504	1941	2536	3425
