"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene","significance"
873.293963455897,-3.59450487015262,0.225647604690029,5.24570078967056e-59,5.61027699455267e-55,"Il10ra","Down in Mutant"
1090.84524281444,-2.89333430801269,0.181826860665456,1.46648941185619e-58,7.84205212990095e-55,"Adgrg1","Down in Mutant"
510.26901484542,-3.07430593315426,0.207143843341022,1.69618203233419e-51,6.0468889452714e-48,"Nrp1","Down in Mutant"
166.666514796817,-3.73053579378999,0.264501514841199,1.0289697090675e-46,2.75120775961922e-43,"Fam167b","Down in Mutant"
218.632120146525,-3.05459875918888,0.231273567417576,1.38767060361964e-41,2.12016244367315e-38,"Zfp467","Down in Mutant"
231.177987423526,-2.71183824968237,0.222526522754618,9.30679115647608e-36,1.10595701576124e-32,"Slc46a1","Down in Mutant"
3180.1435940213,-3.14106674897233,0.261839833105244,1.05553323339727e-34,1.02626617556217e-31,"Olfml3","Down in Mutant"
319.321415900621,-2.46056869622293,0.206385333193722,4.21089953183016e-34,3.75296420774363e-31,"Cyb561a3","Down in Mutant"
1051.04198555164,-2.17827358147007,0.183837282046,1.06482814541887e-33,8.13452643946772e-31,"Ppfia4","Down in Mutant"
298.596921896113,-3.62665015239482,0.308904032766227,1.57073646878414e-33,1.11993510224309e-30,"Lst1","Down in Mutant"
521.460656340964,-3.30785463611198,0.282215066436078,1.8811065644162e-33,1.25740216915196e-30,"Capn3","Down in Mutant"
632.008762917606,-3.71401144040598,0.319477250529977,5.69359764956812e-33,3.58194275659594e-30,"Gal3st4","Down in Mutant"
121.882713843472,-3.01124964403762,0.262063292632186,4.77383908812886e-32,2.55281045237691e-29,"Slc9a9","Down in Mutant"
470.362216028029,-2.54034764505926,0.222438203894368,1.1066661151231e-31,5.63609242916265e-29,"Gas6","Down in Mutant"
796.531106366999,-1.7464325333535,0.153225233399459,3.20305409880068e-31,1.55712107212151e-28,"Plxdc2","Down in Mutant"
323.316431626446,-2.09718941936097,0.187326212703196,2.62070539062527e-30,1.21862800664075e-27,"Fads1","Down in Mutant"
183.355527133464,-2.11959272822514,0.192587870010431,2.80203272962871e-29,1.15260538628381e-26,"Snn","Down in Mutant"
1549.53875274564,-1.98602492467895,0.181592574653046,4.25814754415099e-29,1.6866995549887e-26,"Bin1","Down in Mutant"
