"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene","significance"
82.6389793113734,7.15162820685932,0.518634105402962,2.90676575285194e-43,6.2175719453503e-40,"Nbl1","Up in Mutant"
189.116573704958,3.82794077305316,0.28280791357202,1.34505732628398e-42,2.39756468410119e-39,"Map3k6","Up in Mutant"
427.604815151829,3.21250403039244,0.240808130217039,1.6092007678268e-41,2.15130027648846e-38,"Cdkn1a","Up in Mutant"
207.701163672249,3.85526848270008,0.315474674521988,3.34349643301427e-35,3.57586943510876e-32,"Sdc4","Up in Mutant"
49.7819591727906,5.52080411400298,0.461747161124285,1.03946185001861e-33,8.13452643946772e-31,"Rflnb","Up in Mutant"
835.082137470426,2.46134485735372,0.208939454085315,6.37993349059763e-33,3.79074381566342e-30,"Pfkfb3","Up in Mutant"
168.999979055346,3.76313602916889,0.322492356144762,2.38667490061822e-32,1.34344674011115e-29,"Trem1","Up in Mutant"
46.8319881431933,4.92265939168923,0.444357711449973,1.77516199607899e-29,7.91056564502702e-27,"Zbtb16","Up in Mutant"
337.304660458259,2.61068051617014,0.235886034218318,2.18399264634761e-29,9.34312054107506e-27,"Dtx2","Up in Mutant"
935.65872474763,2.18428247181215,0.201224196421484,2.31574077679309e-28,8.54029227855246e-26,"Cd300lf","Up in Mutant"
1116.0257479011,1.9109009862009,0.185495216505061,9.52266680132119e-26,2.90985489828943e-23,"Slc15a3","Up in Mutant"
927.677995431973,2.58027767050877,0.261895868346953,8.23008473203264e-24,1.91349470019759e-21,"Rnf169","Up in Mutant"
267.761589437468,1.8445951904458,0.18949210216208,2.97174907412469e-23,6.62142840578408e-21,"Cited2","Up in Mutant"
2458.9734308681,2.3541529620608,0.243588655706911,5.34382941760874e-23,1.16637256370052e-20,"Mt1","Up in Mutant"
199.065399517252,1.96815857983167,0.20574964306472,1.37467830973254e-22,2.82734317742106e-20,"Fmnl2","Up in Mutant"
2304.60591499809,1.95033701142911,0.207404027099982,7.07726972518378e-22,1.30502413294553e-19,"Srgn","Up in Mutant"
688.687465980096,4.1924760223939,0.452050496809351,2.47400049448666e-21,4.1999103632595e-19,"AW112010","Up in Mutant"
89.3363929632423,3.67223528168303,0.398474318947825,3.09644346791388e-21,5.09484044451368e-19,"Spp1","Up in Mutant"
253.79317412455,2.52769471397322,0.275344985201574,5.13558597362698e-21,7.96015825912181e-19,"Plaur","Up in Mutant"
1256.21085141074,4.07608503599114,0.449250783522173,1.40772075900213e-20,2.06240733116819e-18,"Mt2","Up in Mutant"
321.484963704721,1.4572945349402,0.162079659002439,4.06266799040325e-20,5.79336455431503e-18,"Kri1","Up in Mutant"
174.653329292897,1.86209564624435,0.221387363845117,5.02505903483319e-18,5.90582487665285e-16,"Osm","Up in Mutant"
496.562024781059,1.80392648848982,0.21808491149261,1.84914516937337e-17,1.99763712994427e-15,"Pde1b","Up in Mutant"
77.8980822593053,3.22097807322676,0.392710703147461,2.69416999621375e-17,2.85288595143625e-15,"Phlda1","Up in Mutant"
102.722862192853,2.38438050900147,0.29371971346271,5.31986184726385e-17,5.41865928157018e-15,"Ccnd2","Up in Mutant"
372.660113930398,2.19876578413156,0.272771423286035,9.12020819427879e-17,9.11594641474875e-15,"Msrb1","Up in Mutant"
259.728210457135,2.62552259918715,0.325983063790802,9.37748759543084e-17,9.28631757714193e-15,"Gadd45b","Up in Mutant"
105.897806218498,1.9122987769731,0.238080916556119,1.18567782809979e-16,1.1424166100475e-14,"Snhg15","Up in Mutant"
175.081695951883,1.99197079904816,0.249188160183487,1.61942688530999e-16,1.49308366710261e-14,"Dab2","Up in Mutant"
988.525647519091,1.47064554087744,0.185495455474748,3.68028880873944e-16,3.2262859679892e-14,"Ncl","Up in Mutant"
152.898256959424,2.1399632481619,0.272936712023953,5.72728747200503e-16,4.90026716104751e-14,"Ets2","Up in Mutant"
560.524346934136,1.17909467244742,0.151110000636252,1.34828566298875e-15,1.10075688287517e-13,"Cndp2","Up in Mutant"
34.7281555160829,4.04227708704934,0.53117537246397,3.25481522109036e-15,2.59777976041503e-13,"Lilrb4b","Up in Mutant"
47.7919245406556,3.49289301548059,0.466028207400676,6.165320670744e-15,4.7098646124005e-13,"Spon1","Up in Mutant"
101.751933963344,2.85919318434647,0.380984919640503,6.66990508008843e-15,5.0591939596841e-13,"Tmem154","Up in Mutant"
55.4064938455752,3.47876746906225,0.46507616071424,8.8616257874146e-15,6.58160331919439e-13,"Mybpc3","Up in Mutant"
126.725354815875,1.69955664524553,0.227101643623624,9.26795399286713e-15,6.83591503129062e-13,"Tnfrsf12a","Up in Mutant"
20.1275934394444,3.04476313821684,0.410956576413402,1.26076819738475e-14,9.04960796713417e-13,"Trem3","Up in Mutant"
357.071007360555,1.88449005800275,0.253091561874249,1.27340312051999e-14,9.07936424930756e-13,"Tsc22d3","Up in Mutant"
468.707634970925,2.38295144359837,0.321310964498965,1.44587869278135e-14,1.02408427942361e-12,"Egln2","Up in Mutant"
52.6606201726337,3.28410031283253,0.447982774432528,2.73448125083212e-14,1.87469724215702e-12,"Fpr2","Up in Mutant"
85.8080862157791,2.26999368325504,0.311991191350485,3.73429478239616e-14,2.45020139249858e-12,"Adam8","Up in Mutant"
10.6622738236103,9.16302659223083,2.78708781493106,3.78499682775588e-14,2.46832567517373e-12,"Sphk1","Up in Mutant"
348.283702302614,2.30589231491245,0.317793109706839,4.8471944502715e-14,3.10423620632657e-12,"Lilrb4a","Up in Mutant"
100.437246625947,1.63412338873319,0.22572814564889,6.153332076386e-14,3.84853137759931e-12,"Fcf1","Up in Mutant"
72.9868194287811,2.9930914466333,0.416160787631462,7.0296479112888e-14,4.30159992870019e-12,"Cd44","Up in Mutant"
364.753196920705,1.97548251962344,0.273777205055533,7.07883672231168e-14,4.30159992870019e-12,"Nfkbiz","Up in Mutant"
359.495859353108,1.52164039119576,0.21065874086668,7.62526547420153e-14,4.6074697314455e-12,"Azin1","Up in Mutant"
34.997706667742,3.78421126309193,0.529284183944323,9.11750448560415e-14,5.4173172485298e-12,"Gas7","Up in Mutant"
70.3327174007142,1.9905211261562,0.279304556744606,1.03830274652415e-13,6.13516457131258e-12,"Flot2","Up in Mutant"
346.631882621255,1.39573197044552,0.194823197539867,1.2912658662317e-13,7.54649641494427e-12,"Ppan","Up in Mutant"
104.848294501779,1.64482557691151,0.232579555505414,2.10334519715911e-13,1.2064875664801e-11,"Rrp9","Up in Mutant"
1145.87972726591,1.27592581695013,0.17935691571495,2.17526413299708e-13,1.23747073948956e-11,"Dok3","Up in Mutant"
293.600653715024,1.71520333147534,0.242905572193977,2.26350985723451e-13,1.27411778542753e-11,"Gnl3","Up in Mutant"
19.9303981467287,3.97190123015596,0.566572289918753,2.77962742650556e-13,1.54031685629414e-11,"Clec4d","Up in Mutant"
189.800584444603,1.30997471071604,0.186018906527071,3.34657771337878e-13,1.84493034250444e-11,"Agtrap","Up in Mutant"
129.115754505884,1.41454467600398,0.201156222090789,3.43114265046167e-13,1.88184977675321e-11,"Snhg16","Up in Mutant"
115.949779529772,2.41182066827816,0.345819392999497,3.59795799805045e-13,1.95330765427155e-11,"Galnt6","Up in Mutant"
433.371657117951,1.09194192104566,0.155508335112199,5.09049687380695e-13,2.70860020225698e-11,"Ubp1","Up in Mutant"
286.916296161933,1.52100866420329,0.218716094416663,5.60310321677682e-13,2.9665935100707e-11,"Tuba1c","Up in Mutant"
90.6678195285318,1.70401404568118,0.246178140447584,6.15441905948604e-13,3.24243900695582e-11,"Trmt61a","Up in Mutant"
240.843518598849,1.40152574947328,0.202279701769272,6.90216632295918e-13,3.58343052543924e-11,"Snhg6","Up in Mutant"
195.421058916319,1.39354414310439,0.201283637350501,7.25038366921242e-13,3.74603156242642e-11,"Snx10","Up in Mutant"
21.0345578169798,3.27028727812543,0.47976931574068,8.02733603183111e-13,4.12751725290547e-11,"Hip1r","Up in Mutant"
492.613530083132,1.12779335317038,0.162410297566922,8.40531329860094e-13,4.28971970460802e-11,"Sqstm1","Up in Mutant"
105.865423312685,2.11056025194832,0.309266415397993,1.02258076746577e-12,5.15872703209734e-11,"Nfil3","Up in Mutant"
227.707976052893,2.21319067164273,0.324255662662437,1.03740112155035e-12,5.20892253285491e-11,"Gbp2","Up in Mutant"
703.164457298887,1.49394555380121,0.218146561880932,1.19224504571521e-12,5.87606486816784e-11,"Slfn2","Up in Mutant"
