"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene","significance"
873.293963455897,-3.59450487015262,0.225647604690029,5.24570078967056e-59,5.61027699455267e-55,"Il10ra","Down in Mutant"
1090.84524281444,-2.89333430801269,0.181826860665456,1.46648941185619e-58,7.84205212990095e-55,"Adgrg1","Down in Mutant"
510.26901484542,-3.07430593315426,0.207143843341022,1.69618203233419e-51,6.0468889452714e-48,"Nrp1","Down in Mutant"
166.666514796817,-3.73053579378999,0.264501514841199,1.0289697090675e-46,2.75120775961922e-43,"Fam167b","Down in Mutant"
82.6389793113734,7.15162820685932,0.518634105402962,2.90676575285194e-43,6.2175719453503e-40,"Nbl1","Up in Mutant"
189.116573704958,3.82794077305316,0.28280791357202,1.34505732628398e-42,2.39756468410119e-39,"Map3k6","Up in Mutant"
218.632120146525,-3.05459875918888,0.231273567417576,1.38767060361964e-41,2.12016244367315e-38,"Zfp467","Down in Mutant"
427.604815151829,3.21250403039244,0.240808130217039,1.6092007678268e-41,2.15130027648846e-38,"Cdkn1a","Up in Mutant"
231.177987423526,-2.71183824968237,0.222526522754618,9.30679115647608e-36,1.10595701576124e-32,"Slc46a1","Down in Mutant"
207.701163672249,3.85526848270008,0.315474674521988,3.34349643301427e-35,3.57586943510876e-32,"Sdc4","Up in Mutant"
3180.1435940213,-3.14106674897233,0.261839833105244,1.05553323339727e-34,1.02626617556217e-31,"Olfml3","Down in Mutant"
319.321415900621,-2.46056869622293,0.206385333193722,4.21089953183016e-34,3.75296420774363e-31,"Cyb561a3","Down in Mutant"
1051.04198555164,-2.17827358147007,0.183837282046,1.06482814541887e-33,8.13452643946772e-31,"Ppfia4","Down in Mutant"
49.7819591727906,5.52080411400298,0.461747161124285,1.03946185001861e-33,8.13452643946772e-31,"Rflnb","Up in Mutant"
298.596921896113,-3.62665015239482,0.308904032766227,1.57073646878414e-33,1.11993510224309e-30,"Lst1","Down in Mutant"
521.460656340964,-3.30785463611198,0.282215066436078,1.8811065644162e-33,1.25740216915196e-30,"Capn3","Down in Mutant"
632.008762917606,-3.71401144040598,0.319477250529977,5.69359764956812e-33,3.58194275659594e-30,"Gal3st4","Down in Mutant"
835.082137470426,2.46134485735372,0.208939454085315,6.37993349059763e-33,3.79074381566342e-30,"Pfkfb3","Up in Mutant"
